"[[0.007272727272727273, 1.0999999999999999, -0.028558499843152924, -0.09634966933182887, -0.07350316797434653, 1.0079950999179168]]",1,-1,"[[-0.11272727272727273, 0.9999999999999999, 1.171441500156847, 1.103650330668171, 1.1264968320256534, 0.9079950999179168]]",True
"[[0.01818181818181818, 0.8999999999999999, 0.9276155336140802, -0.08923454726620683, 0.1215203218246464, 0.13222044542917294]]",1,-1,"[[-0.02181818181818182, 0.7999999999999999, 0.8276155336140802, 1.1107654527337931, 0.021520321824646388, 0.032220445429172934]]",True
"[[0.03272727272727273, 2.7755575615628914e-17, 0.08561620317982127, 0.2125607529455997, 1.0305760592741768, -0.05425981010980374]]",1,-1,"[[-0.005454545454545455, 0.0, -0.014383796820178735, 0.1125607529455997, 0.9305760592741769, 1.1457401898901962]]",True
"[[0.03636363636363636, 2.7755575615628914e-17, 0.2691602482817219, 0.015520549180711912, -0.0023301106432287166, 1.01684687445572]]",1,-1,"[[-0.0036363636363636364, 0.0, 0.1691602482817219, -0.0844794508192881, 1.1976698893567712, 0.91684687445572]]",True
"[[0.034545454545454546, 0.20000000000000004, 0.4137026414086218, 0.40302854884677486, 0.9370392513487152, -0.06368999915209761]]",1,-1,"[[-0.005454545454545455, 0.10000000000000003, 0.3137026414086218, 0.3030285488467749, 0.8370392513487153, 1.1363100008479023]]",True
"[[0.00909090909090909, 0.9999999999999999, -0.06907290600665972, 0.6478651973612308, 1.0995180153577173, 0.2713730233954639]]",1,-1,"[[-0.03090909090909091, 0.8999999999999999, 1.1309270939933402, 0.5478651973612308, 0.9995180153577173, 0.17137302339546387]]",True
"[[0.023636363636363636, 0.30000000000000004, 0.47533316390331914, 0.8139973580010431, 0.19705687809916558, -0.09562715432846658]]",1,-1,"[[-0.014545454545454545, 0.20000000000000004, 0.37533316390331917, 0.7139973580010431, 0.09705687809916558, 1.1043728456715334]]",True
"[[0.04909090909090909, 1.0999999999999999, 1.102341403708062, 0.32735256554631464, -0.009186851180134709, -0.03953095008411897]]",1,-1,"[[-0.023636363636363636, 0.9999999999999999, 1.002341403708062, 0.22735256554631464, 1.1908131488198652, 1.160469049915881]]",True
"[[0.016363636363636365, 2.7755575615628914e-17, 0.0054104469427044555, 0.8668830157295504, -0.033693727698525605, 1.1628986793262197]]",1,-1,"[[-0.01818181818181818, 0.0, -0.09458955305729555, 0.7668830157295504, 1.1663062723014743, 1.0628986793262196]]",True
"[[0.04909090909090909, 1.0999999999999999, -0.0625575395276805, -0.03637202026818717, 0.09735088293621214, -0.08532463102745802]]",1,-1,"[[-0.06545454545454546, 0.9999999999999999, 1.1374424604723194, 1.1636279797318128, -0.0026491170637878703, 1.114675368972542]]",True
"[[0.005454545454545455, 0.5, 0.518353723456105, 0.7308873735570148, -0.018043128745405673, 0.9891500909157697]]",1,-1,"[[-0.03272727272727273, 0.4, 0.418353723456105, 0.6308873735570149, 1.1819568712545943, 0.8891500909157697]]",True
"[[0.03090909090909091, 0.9999999999999999, -0.05161857559469296, 0.9565437832300864, -0.07808555562530595, -0.0015466606062792543]]",1,-1,"[[-0.07636363636363637, 0.8999999999999999, 1.148381424405307, 0.8565437832300864, 1.121914444374694, 1.1984533393937207]]",True
"[[0.04181818181818182, 0.30000000000000004, 0.37040422476979284, 0.8096662402026213, 0.2619098161097688, -0.044461073809553414]]",1,-1,"[[0.0, 0.20000000000000004, 0.27040422476979287, 0.7096662402026214, 0.16190981610976882, 1.1555389261904465]]",True
"[[0.03090909090909091, 2.7755575615628914e-17, 0.9796046229725798, 0.12244407920211847, 0.5895900584700818, -0.09116044883250507]]",1,-1,"[[-0.005454545454545455, 0.0, 0.8796046229725798, 0.022444079202118467, 0.48959005847008186, 1.1088395511674949]]",True
"[[0.02, 2.7755575615628914e-17, 0.6982941229999517, -0.09067852554423506, -0.06950918593168476, 0.6079213711980076]]",1,-1,"[[-0.05272727272727273, 0.0, 0.5982941229999518, 1.109321474455765, 1.1304908140683152, 0.5079213711980076]]",True
"[[0.02727272727272727, 0.10000000000000003, -0.029334681905762466, 0.8138827518324716, 0.4721798908164754, 0.043306515264592754]]",1,-1,"[[-0.00909090909090909, 2.7755575615628914e-17, 1.1706653180942375, 0.7138827518324716, 0.3721798908164754, -0.05669348473540725]]",True
"[[0.00909090909090909, 0.9999999999999999, 0.3497007286293673, -0.06328415628629736, 0.2649805225229209, 0.9737839373668754]]",1,-1,"[[-0.03272727272727273, 0.8999999999999999, 0.2497007286293673, 1.1367158437137026, 0.16498052252292092, 0.8737839373668754]]",True
"[[0.034545454545454546, 1.0999999999999999, 1.1615252602321722, -0.09175259131804436, 0.12173774475195437, 0.34559420167025523]]",1,-1,"[[-0.007272727272727273, 0.9999999999999999, 1.061525260232172, 1.1082474086819556, 0.021737744751954363, 0.24559420167025522]]",True
"[[0.038181818181818185, 0.8999999999999999, -0.05064507608023461, -0.06075692977326086, 0.5002301927088492, 0.8214188419062269]]",1,-1,"[[-0.038181818181818185, 0.7999999999999999, 1.1493549239197653, 1.139243070226739, 0.4002301927088492, 0.721418841906227]]",True
